	ENG_e	FR_e	eng_stem	fr_stem	ratio_similarity
50	accrue	accumuler	accru	accumul	67
51	accumulate	accumuler	accumul	accumul	100
52	accumulative	cumulatif	accumul	cumul	83
53	accurate	exact	accur	exact	40
54	accusative	accusatif	accus	accus	100
55	accuse	accuser	accus	accus	100
56	ace	as	ace	as	40
57	acetate	acétate	acet	acétat	60
58	acetone	acétone	aceton	acéton	83
59	acetylene	acétylène	acetylen	acétylen	88
60	ache	mal	ach	mal	33
61	achievable	réalisable	achiev	réalis	33
62	achieve	atteindre	achiev	atteindr	29
63	acknowledge	accuser réception	acknowledg	accuser récept	25
64	acme	acmé	acm	acmé	86
65	acne	acné	acn	acné	86
66	acolyte	acolyte	acolyt	acolyt	100
67	aconite	aconit	aconit	acon	80
68	acquaintance	connaissance	acquaint	connaiss	38
69	acquiesce	acquiescer	acquiesc	acquiesc	100
70	acquiescence	consentement	acquiesc	consent	27
71	acquire	acquérir	acquir	acquer	83
72	acquisitive	avide	acquisit	avid	33
73	acquittance	acquittement	acquitt	acquitt	100
74	acre	acre	acr	acre	86
75	acreage	superficie	acreag	superfic	14
76	actionable	exploitable	action	exploit	15
77	activate	Activer	activ	activ	100
78	active	actif	activ	actif	80
79	actualise	actualiser	actualis	actualis	100
80	actuate	actionner	actuat	action	50
81	acupuncture	acupuncture	acupunctur	acupunctur	100
82	acute	aigu	acut	aigu	50
83	adage	adage	adag	adag	100
84	adaptable	adaptable	adapt	adapt	100
85	adaptive	adaptatif	adapt	adapt	100
86	addictive	addictif	addict	addict	100
87	additive	additif	addit	addit	100
88	addle	pourri	addl	pourr	0
89	addressable	adressable	address	adress	92
90	addressee	destinataire	addresse	destinatair	32
91	adduce	apporter	adduc	apport	18
92	adelaide	Adélaïde	adelaid	adélaïd	71
93	adenine	adénine	adenin	adénin	83
94	adequate	adéquat	adequ	adéquat	67
95	adhere	adhérer	adher	adher	100
96	adherence	adhérence	adher	adhérent	62
97	adhesive	adhésif	adhes	adhes	100
98	adipose	adipeux	adipos	adip	80
99	adjective	adjectif	adject	adject	100
100	adjudge	prononcer	adjudg	prononc	0
101	adjudicate	juger	adjud	jug	50
102	adjure	adjurer	adjur	adjur	100
103	adjustable	Ajustable	adjust	ajust	91
104	administrate	administrer	administr	administr	100
105	administrative	administratif	administr	administr	100
106	admirable	admirable	admir	admir	100
107	admire	admirer	admir	admir	100
108	admissible	admissible	admiss	admissibl	80
109	admittance	admission	admitt	admiss	67
110	admixture	mélange	admixtur	mélang	14
111	adobe	adobe	adob	adob	100
112	adolescence	adolescence	adolesc	adolescent	82
113	adoptive	adoptif	adopt	adopt	100
114	adorable	adorable	ador	ador	100
115	adore	adorer	ador	ador	100
116	adrenaline	adrénaline	adrenalin	adrénalin	89
117	adulterate	falsifier	adulter	falsifi	29
118	adumbrate	esquisser	adumbr	esquiss	15
119	advance	avance	advanc	avanc	91
120	advantage	avantage	advantag	avantag	93
121	adventure	aventure	adventur	aventur	93
122	adverse	négatif	advers	négat	18
123	advertise	afficher	advertis	affich	29
124	advice	conseils	advic	conseil	17
125	advisable	conseillé	advis	conseil	17
126	advise	conseiller	advis	conseil	17
127	advocate	avocat	advoc	avocat	73
128	adze	herminette	adz	herminet	0
129	aerate	aérer	aerat	aer	75
130	aerobe	aérobie	aerob	aérob	80
131	aerodrome	aérodrome	aerodrom	aérodrom	88
132	aeroplane	avion	aeroplan	avion	46
133	aerospace	aérospatial	aerospac	aérospatial	63
134	aesthete	esthète	aesthet	esthet	92
135	affable	affable	affabl	affabl	100
136	affectionate	affectueux	affection	affectu	75
137	affective	affectif	affect	affect	100
138	affiliate	affilier	affili	affili	100
139	affine	affine	affin	affin	100
140	affirmative	affirmative	affirm	affirm	100
141	affluence	richesse	affluenc	richess	13
142	affordable	abordable	afford	abord	73
143	afire	un feu	afir	un feu	20
144	aflame	en flammes	aflam	en flamm	62
145	aftercare	suivi	aftercar	suiv	0
146	afterlife	vie après la mort	afterlif	vie après la mort	16
147	aftershave	après rasage	aftershav	après rasag	40
148	aftertaste	arrière-goût	aftertast	arrière-goût	19
149	agape	bouche bée	agap	bouche b	0
150	agave	agave	agav	agav	100
151	age	âge	age	âge	67
152	agglutinative	agglutinant	agglutin	agglutin	100
153	aggravate	aggraver	aggrav	aggrav	100
154	aggregate	agrégat	aggreg	agrégat	46
155	aggressive	agressif	aggress	agress	92
156	agile	agile	agil	agil	100
157	agitate	agiter	agit	agit	100
158	agonise	tourmenter	agonis	tourment	29
159	agree	Je suis d'accord	agre	je suis d'accord	20
160	agreeable	agréable	agreeabl	agréabl	80
161	agriculture	agriculture	agricultur	agricultur	100
162	ague	fièvre	agu	fievr	0
163	aide	aide	aid	aid	100
164	airbase	base aérienne	airbas	base aérien	35
165	airborne	aéroporté	airborn	aéroport	53
166	aire	aire	air	air	100
167	airforce	armée de l'air	airforc	armée de l'air	29
168	airframe	cellule	airfram	cellul	0
169	airline	Compagnie aérienne	airlin	compagnie aérien	45
170	airplane	avion	airplan	avion	50
171	airspace	espace aérien	airspac	espace aérien	40
172	airtime	temps d'antenne	airtim	temps d'anten	21
173	airwave	airwave	airwav	airwav	100
174	aisle	rayon	aisl	rayon	22
175	alacarte	à la carte	alacart	à la cart	75
176	alanine	alanine	alanin	alanin	100
177	alcove	alcôve	alcov	alcôv	80
178	aldehyde	aldéhyde	aldehyd	aldéhyd	86
179	ale	ale	ale	ale	100
180	alehouse	Alehouse	alehous	alehous	100
181	algae	algues	alga	algu	75
182	alienate	aliéner	alien	alien	100
183	alike	ressemblent	alik	ressemblent	13
184	aline	une ligne	alin	une lign	50
185	alive	vivant	aliv	viv	57
186	alkaline	alcalin	alkalin	alcalin	86
187	alkalise	alcaliniser	alkalis	alcalinis	75
188	allege	alléguer	alleg	allégu	73
189	allegiance	allégeance	allegi	allége	67
190	allele	allèle	allel	allel	100
191	alleviate	soulager	allevi	soulag	17
192	alliance	Alliance	allianc	allianc	100
193	alliterate	allitérer	alliter	alliter	100
194	alliterative	allitératif	allit	alliter	83
195	allocatable	attribuable	allocat	attribu	29
196	allocate	allouer	alloc	allou	80
197	allotrope	allotrope	allotrop	allotrop	100
198	allowable	admissible	allow	admissibl	29
199	allowance	allocation	allow	alloc	80
200	allude	faire allusion	allud	faire allu	53
201	allure	séduire	allur	séduir	36
202	allusive	allusif	allus	allus	100
203	almshouse	maison de charité	almshous	maison de char	27
204	aloe	aloès	alo	aloes	75
205	alone	en solo	alon	en solo	36
206	alongside	aux côtés de	alongsid	aux côtes d	32
207	alpine	alpin	alpin	alpin	100
208	altarpiece	retable	altarpiec	retabl	27
209	alterable	modifiable	alter	modifi	0
210	altercate	altérer	alterc	alter	91
211	alternate	alterner	altern	altern	100
212	alternative	alternative	altern	altern	100
213	altitude	altitude	altitud	altitud	100
214	amalgamate	fusionner	amalgam	fusion	0
215	amaze	étonner	amaz	éton	0
216	ambiance	ambiance	ambianc	ambianc	100
217	ambience	ambiance	ambienc	ambianc	86
218	ambivalence	ambivalence	ambival	ambivalent	82
219	amble	amble	ambl	amble	89
220	ambulance	ambulance	ambul	ambul	100
221	ambulate	déambuler	ambul	déambul	83
222	ambuscade	embuscade	ambuscad	embuscad	88
223	ameliorate	améliorer	amelior	amélior	86
224	amenable	docile	amen	docil	0
225	amendable	modifiable	amend	modifi	36
226	amethystine	amethystine	amethystin	amethystin	100
227	amiable	aimable	amiabl	aimabl	83
228	amicable	amical	amic	amical	80
229	amide	amide	amid	amid	100
230	amine	amine	amin	amin	100
231	amoebae	amibes	amoeba	amib	60
232	amortise	amortir	amortis	amort	83
233	ampere	ampère	amper	amper	100
234	amphetamine	amphétamine	amphetamin	amphétamin	90
235	amphitheatre	amphithéâtre	amphitheatr	amphithéâtr	82
236	ample	ample	ampl	ample	89
237	amplitude	amplitude	amplitud	amplitud	100
238	ampule	ampoule	ampul	ampoul	91
239	amputate	amputer	amput	amput	100
240	amputee	amputé	ampute	amput	91
241	amuse	amuser	amus	amus	100
242	anaesthetise	anesthésier	anaesthetis	anesthési	70
243	analogise	analogiser	analogis	analogis	100
244	analogue	analogue	analogu	analogu	100
245	analysable	analysable	analys	analys	100
246	analyse	analyser	analys	analys	100
247	anchorage	ancrage	anchorag	ancrag	86
248	anchorite	anachorète	anchorit	anachoret	82
249	andante	andante	andant	andant	100
250	anecdote	anecdote	anecdot	anecdot	100
251	anemone	anémone	anemon	anémon	83
252	angle	angle	angl	angle	89
253	anglepoise	anglepoise	anglepois	anglepois	100
254	aniline	aniline	anilin	anilin	100
255	animate	animer	anim	anim	100
256	anise	anis	anis	anis	100
257	ankle	cheville	ankl	chevill	18
258	annexe	annexe	annex	annex	100
259	annihilate	annihiler	annihil	annihil	100
260	annotate	annoter	annot	annot	100
261	announce	annoncer	announc	annonc	92
262	annoyance	contrariété	annoy	contrariet	13
263	anode	anode	anod	anod	100
264	anodyne	calmant	anodyn	calm	20
265	answerable	responsable	answer	respons	31
266	antagonise	contrarier	antagonis	contrari	47
267	ante	ante	ant	ante	86
268	antedate	antidate	anted	antidat	67
269	antelope	antilope	antelop	antilop	86
270	antennae	antennes	antenna	anten	83
271	anthologise	anthologiser	anthologis	anthologis	100
272	anthracite	anthracite	anthracit	anthracit	100
273	anticipate	anticiper	anticip	anticip	100
274	anticipative	anticipatif	anticip	anticip	100
275	anticlockwise	sens anti-horaire	anticlockwis	sens anti-horair	43
276	anticyclone	anticyclone	anticyclon	anticyclon	100
277	antidote	antidote	antidot	antidot	100
278	antifreeze	antigel	antifreez	antigel	62
279	antilope	antilope	antilop	antilop	100
280	antique	antique	antiqu	antiqu	100
281	anymore	plus	anymor	plus	0
282	anyone	personne	anyon	person	36
283	anyplace	n'importe où	anyplac	n'importe où	21
284	anywhere	partout	anywher	partout	29
285	apace	un rythme	apac	un rythm	0
286	apache	apache	apach	apach	100
287	ape	singe	ape	sing	0
288	aperture	ouverture	apertur	ouvertur	67
289	apiece	un morceau	apiec	un morceau	13
290	apocalypse	apocalypse	apocalyps	apocalyps	100
291	apogee	apogée	apoge	apog	89
292	apologise	s'excuser	apologis	s'excus	13
293	apostate	apostat	apost	apostat	83
294	apostle	apôtre	apostl	apôtr	55
295	apostolate	apostolat	apostol	apostolat	88
296	apostrophe	apostrophe	apostroph	apostroph	100
297	appearance	apparence	appear	apparent	71
298	appease	apaiser	appeas	apais	73
299	appellate	appeler	appel	appel	100
300	appendage	appendice	appendag	appendic	75
301	appetite	appétit	appetit	appet	83
302	applause	applaudissements	applaus	applaud	86
303	apple	Pomme	appl	pomm	25
304	applepie	tarte aux pommes	applepi	tarte aux pomm	19
305	appliance	appareil	applianc	appareil	50
306	applicable	en vigueur	applic	en vigueur	12
307	applicative	applicatif	applic	appliqu	77
308	applique	applique	appliqu	appliqu	100
309	appointee	nommé	appointe	nomm	17
310	apposite	pertinent	apposit	pertinent	38
311	appraise	évaluer	apprais	évalu	17
312	appreciable	appréciable	appreci	appréci	86
313	appreciate	apprécier	appreci	appréci	86
314	appreciative	reconnaissant	appreci	reconnaiss	47
315	apprehensive	inquiet	apprehens	inquiet	12
316	apprentice	apprenti	apprentic	apprent	88
317	apprise	informer	appris	inform	17
318	approachable	approchable	approach	approch	93
319	appropriate	approprié	appropri	appropri	100
320	approve	approuver	approv	approuv	92
321	approximate	approximatif	approxim	approxim	100
322	apse	abside	aps	absid	50
323	aptitude	aptitude	aptitud	aptitud	100
324	aquamarine	bleu vert	aquamarin	bleu vert	22
325	aquiline	aquilin	aquilin	aquilin	100
326	arabesque	arabesque	arabesqu	arabesqu	100
327	arable	arable	arabl	arabl	100
328	arbitrage	arbitrage	arbitrag	arbitrag	100
329	arbitrate	arbitrer	arbitr	arbitr	100
330	arcade	arcade	arcad	arcad	100
331	arcane	ésotérique	arcan	ésoter	18
332	archdiocese	archidiocèse	archdioces	archidioces	95
333	archduke	archiduc	archduk	archiduc	80
334	archetype	archétype	archetyp	archétyp	88
335	architecture	architecture	architectur	architectur	100
336	architrave	architrave	architrav	architrav	100
337	archive	archiver	archiv	archiv	100
338	are	sommes	are	somm	0
339	arguable	contestable	arguabl	contest	0
340	argue	se disputer	argu	se disput	15
341	argumentative	argumentatif	argument	argument	100
342	arise	surgir	aris	surg	25
343	armature	armature	armatur	armatur	100
344	armhole	emmanchure	armhol	emmanchur	27
345	armistice	armistice	armistic	armistic	100
346	arose	surgit	aros	surg	25
347	arouse	susciter	arous	suscit	36
348	arrange	organiser	arrang	organis	46
349	arrangeable	arrangeable	arrang	arrange	92
350	arrestable	arrêtable	arrest	arrêt	73
351	arrive	arrivée	arriv	arriv	100
352	arrogance	arrogance	arrog	arrog	100
353	arsenide	arséniure	arsenid	arséniur	67
354	artichoke	artichaut	artichok	artichaut	71
355	article	article	articl	articl	100
356	articulate	articuler	articul	articul	100
357	artifice	artifice	artific	artific	100
358	artiste	artiste	artist	artist	100
359	ascertainable	vérifiable	ascertain	vérifi	27
360	ascribable	attribuable	ascrib	attribu	62
361	ascribe	attribuer	ascrib	attribu	62
362	ashore	à terre	ashor	à terr	18
363	aside	de côté	asid	de côt	20
364	asinine	idiot	asinin	idiot	36
365	askance	dégoût	askanc	dégoût	0
366	asphyxiate	asphyxier	asphyxi	asphyxi	100
367	aspirate	aspirer	aspir	aspir	100
368	aspire	aspirer	aspir	aspir	100
369	assailable	attaquable	assail	attaqu	33
370	assassinate	assassiner	assassin	assassin	100
371	assemblage	assemblage	assemblag	assemblag	100
372	assemble	assembler	assembl	assembl	100
373	assertive	sûr de soi	assert	sûr de soi	25
374	assessable	imposable	assess	impos	18
375	assignable	assignable	assign	assign	100
376	assimilable	assimilable	assimil	assimil	100
377	assimilate	assimiler	assimil	assimil	100
378	assistance	assistance	assist	assist	100
379	associate	associer	associ	associ	100
380	associative	associatif	associ	associ	100
381	assonance	assonance	asson	asson	100
382	assuage	apaiser	assuag	apais	36
383	assume	supposer	assum	suppos	36
384	assurance	assurance	assur	assur	100
385	assure	assurer	assur	assur	100
386	astraddle	chevaucher	astraddl	chevauch	12
387	astride	à califourchon	astrid	à califourchon	20
388	astrolabe	astrolabe	astrolab	astrolab	100
389	astute	astucieux	astut	astuci	73
390	asymptote	asymptote	asymptot	asymptot	100
391	ate	a mangé	ate	a mang	22
392	athlete	athlète	athlet	athlet	100
393	atmosphere	atmosphère	atmospher	atmospher	100
394	atone	expier	aton	expi	0
395	atropine	l'atropine	atropin	l'atropin	88
396	attachable	attachable	attach	attach	100
397	attache	attaché	attach	attach	100
398	attainable	réalisable	attain	réalis	33
399	attendance	présence	attend	présenc	31
400	attentive	attentif	attent	attent	100
401	attenuate	atténuer	attenu	atténu	83
402	attire	tenue	attir	tenu	22
403	attitude	attitude	attitud	attitud	100
404	attractive	attractif	attract	attract	100
405	attributable	attribuable	attribut	attribu	93
406	attribute	attribut	attribut	attribut	100
407	attributive	attributif	attribut	attribut	100
408	attune	harmoniser	attun	harmonis	31
409	aubergine	aubergine	aubergin	aubergin	100
410	audible	audible	audibl	audibl	100
411	audience	public	audienc	public	46
412	auditive	auditif	audit	audit	100
413	augite	augite	augit	augit	100
414	auntie	tata	aunti	tat	50
415	aurorae	aurores	aurora	auror	91
416	auspice	auspice	auspic	auspic	100
417	aussie	Aussie	aussi	auss	89
418	austere	austère	auster	auster	100
419	authenticate	authentifier	authent	authentifi	82
420	authorise	autoriser	authoris	autoris	93
421	authoritative	faisant autorité	authorit	faisant autor	48
422	autocue	autocue	autocu	autocu	100
423	autoimmune	auto-immune	autoimmun	auto-immun	95
424	automate	automatiser	autom	automatis	71
425	automobile	voiture	automobil	voitur	13
426	automotive	automobile	automot	automobil	75
427	available	disponible	avail	disponibl	29
428	avalanche	avalanche	avalanch	avalanch	100
429	avantgarde	avant-garde	avantgard	avant-gard	95
430	avarice	avarice	avaric	avaric	100
431	ave	ave	ave	ave	100
432	avenge	venger	aveng	veng	89
433	avenue	rue	avenu	ru	29
434	average	moyen	averag	moyen	18
435	averse	aversion	avers	avers	100
436	aversive	aversif	avers	avers	100
437	aviate	aviate	aviat	aviat	100
438	avoidable	évitable	avoid	évit	44
439	avoidance	évitement	avoid	évit	44
440	awake	éveillé	awak	éveil	0
441	aware	conscient	awar	conscient	0
442	awe	admiration	awe	admir	25
443	awesome	impressionnant	awesom	impression	38
444	awhile	quelque temps	awhil	quelque temp	12
445	awoke	éveillé	awok	éveil	0
446	axe	hache	axe	hach	29
447	axle	essieu	axl	essieu	0
448	aye	toujours	aye	toujour	0
449	azure	bleu azur	azur	bleu azur	62
450	babble	babiller	babbl	babill	73
451	babe	bébé	babe	beb	57
452	babyface	visage de bébé	babyfac	visage de beb	20
453	backache	mal au dos	backach	mal au dos	24
454	backbone	colonne vertébrale	backbon	colonne vertébral	25
455	backdate	antidate	backdat	antidat	57
456	backfire	se retourner	backfir	se retourn	12
457	backside	arrière	backsid	arrier	31
458	backspace	retour arrière	backspac	retour arri	11
459	backstage	dans les coulisses	backstag	dans les coul	19
460	backstroke	dos crawlé	backstrok	dos crawl	11
461	bacteriophage	bactériophage	bacteriophag	bactériophag	92
462	bade	bade	bade	bad	86
463	badge	badge	badg	badg	100
464	badinage	badinage	badinag	badinag	100
465	baffle	baffle	baffl	baffl	100
466	bagatelle	bagatelle	bagatel	bagatel	100
467	baggage	bagages	baggag	bagag	91
468	bagpipe	cornemuse	bagpip	cornemus	0
469	baguette	baguette	baguett	baguet	92
470	bake	cuire	bake	cuir	0
471	bakehouse	boulangerie	bakehous	boulanger	35
472	balance	équilibre	balanc	équilibr	14
473	bale	balle	bale	ball	75
474	ballade	ballade	ballad	ballad	100
475	balustrade	balustrade	balustrad	balustrad	100
476	bamboozle	embobiner	bamboozl	embobin	40
477	bandage	bandage	bandag	bandag	100
478	bane	fléau	bane	fléau	22
479	bangle	bracelet	bangl	bracelet	46
480	bankable	bancable	bankabl	bancabl	86
481	banknote	billet de banque	banknot	billet de banqu	27
482	banshee	banshee	banshe	banshe	100
483	baptise	baptiser	baptis	baptis	100
484	barbecue	barbecue	barbecu	barbecu	100
485	barbie	Barbie	barbi	barb	89
486	barbiturate	barbiturique	barbitur	barbitur	100
487	barcode	code à barre	barcod	code à barr	35
488	bare	nu	bare	nu	0
489	barge	barge	barg	barg	100
490	bargepole	bargepole	bargepol	bargepol	100
491	baritone	baryton	bariton	baryton	86
492	barnacle	bernacle	barnacl	bernacl	86
493	baronage	baronnage	baronag	baronnag	93
494	baroque	baroque	baroqu	baroqu	100
495	barrage	barrage	barrag	barrag	100
496	barre	barre	barr	barr	100
497	barricade	barricade	barricad	barricad	100
498	base	base	base	bas	86
499	baseline	ligne de base	baselin	ligne de bas	32
500	basque	basque	basqu	basqu	100
501	bastardise	bâtardise	bastardis	bâtardis	82
502	baste	arroser	bast	arros	44
503	bate	bate	bate	bat	86
504	bathe	baigner	bath	baign	44
505	bathhouse	bains publics	bathhous	bains public	30
506	bathrobe	peignoir de bain	bathrob	peignoir de bain	17
507	battle	bataille	battl	bataill	67
508	battleaxe	Hache de guerre	battleax	hache de guerr	18
509	bauble	babiole	baubl	babiol	73
510	bauxite	bauxite	bauxit	bauxit	100
511	be	être	be	être	33
512	beachside	bord de mer	beachsid	bord de m	24
513	beadle	bedeau	beadl	bedeau	55
514	beagle	beagle	beagl	beagl	100
515	beanie	bonnet	beani	bonnet	36
516	beanpole	haricot	beanpol	haricot	29
517	bearable	supportable	bearabl	support	14
518	beatitude	béatitude	beatitud	béatitud	88
519	became	devenu	becam	devenu	18
520	because	car	becaus	car	44
521	become	devenir	becom	deven	20
522	bedazzle	stupéfier	bedazzl	stupéfi	0
523	bedside	chevet	bedsid	chevet	17
524	bedsore	escarre	bedsor	escarr	50
525	bedtime	heure du coucher	bedtim	heure du couch	20
526	bee	abeille	bee	abeil	50
527	beefcake	gâteau au boeuf	beefcak	gâteau au boeuf	27
528	beehive	ruche	beehiv	ruch	20
529	beeline	ligne droite	beelin	ligne droit	35
530	beetle	scarabée	beetl	scarab	18
531	before	avant que	befor	avant qu	0
532	befuddle	émécher	befuddl	émech	17
533	begone	est parti	begon	est part	15
534	begrudge	se plaindre	begrudg	se plaindr	24
535	beguile	séduire	beguil	séduir	33
536	behave	se comporter	behav	se comport	13
537	beige	beige	beig	beig	100
538	belgrade	Belgrade	belgrad	belgrad	100
539	belie	démentir	beli	dément	20
540	believable	croyable	believ	croyabl	31
541	believe	croire	believ	croir	18
542	belike	être comme	belik	être comm	14
543	belittle	rabaisser	belittl	rabaiss	29
544	belle	belle	bell	bel	86
545	bellicose	belliqueux	bellicos	belliqu	67
546	belligerence	belligérance	belliger	belliger	100
547	bemuse	déconcerter	bemus	déconcert	14
548	bendable	pliable	bendabl	pliabl	46
549	benefice	bénéfice	benefic	bénéfic	71
550	beneficence	bienfaisance	benefic	bienfais	67
551	benevolence	bienveillance	benevol	bienveil	67
552	benzene	benzène	benzen	benzen	100
553	berate	admonester	berat	admonest	31
554	bereave	priver	bereav	priv	40
555	beside	à côté de	besid	à côte d	31
556	besiege	assiéger	besieg	assieg	67
557	bespoke	sur mesure	bespok	sur mesur	27
558	bestride	enfourcher	bestrid	enfourch	27
559	bestrode	bestrode	bestrod	bestrod	100
560	betide	bétide	betid	bétid	80
561	beverage	boisson	beverag	boisson	14
562	beware	il faut se méfier	bewar	il faut se méfi	10
563	bible	Bible	bibl	bibl	100
564	bibliophile	bibliophile	bibliophil	bibliophil	100
565	bicarbonate	bicarbonate	bicarbon	bicarbonat	89
566	bicycle	bicyclette	bicycl	bicyclet	86
567	bide	attendre	bide	attendr	18
568	bigapple	grosse Pomme	bigappl	grosse pomm	22
569	bike	bicyclette	bike	bicyclet	50
570	bile	bile	bile	bil	86
571	bilge	fond de cale	bilg	fond de cal	13
572	billable	facturable	billabl	factur	15
573	billionaire	milliardaire	billionair	milliardair	67
574	binge	frénésie	bing	frénes	20
575	binnacle	habitacle	binnacl	habitacl	67
576	biodegradable	biodégradable	biodegrad	biodégrad	89
577	bioscope	bioscope	bioscop	bioscop	100
578	biosphere	biosphère	biospher	biospher	100
579	bipartite	bipartite	bipartit	bipartit	100
580	biplane	biplan	biplan	biplan	100
581	birdcage	volière	birdcag	voli	18
582	birdie	birdie	birdi	bird	89
583	birefringence	biréfringence	birefring	biréfringent	76
584	birthplace	Lieu de naissance	birthplac	lieu de naiss	18
585	birthrate	taux de natalité	birthrat	taux de natal	29
586	bistable	bistable	bistabl	bistabl	100
587	bite	mordre	bite	mordr	0
588	bivalve	bivalve	bivalv	bivalv	100
589	bizarre	bizarre	bizarr	bizarr	100
590	blade	lame	blade	lam	50
591	blame	faire des reproches	blame	faire des reproch	18
592	blameable	blâmable	blameabl	blâmabl	80
593	blancmange	blanc-manger	blancmang	blanc-mang	95
594	blare	vacarme	blare	vacarm	36
595	blase	blasé	blase	blas	89
596	blaspheme	blasphémer	blasphem	blasphem	100
597	blaze	flamber	blaze	flamb	40
598	blithe	joyeux	blith	joyeux	0
599	blockade	blocus	blockad	blocus	62
600	blockage	obstruction	blockag	obstruct	27
601	bloke	type	bloke	typ	0
602	blonde	blond	blond	blond	100
603	bloodline	lignée	bloodlin	lign	50
604	bloodstone	pierre de sang	bloodston	pierre de sang	26
605	blouse	chemisier	blous	chemisi	17
606	blowpipe	chalumeau	blowpip	chalumeau	12
607	blue	bleu	blue	bleu	75
608	bluebottle	mouche bleue	bluebottl	mouche bleu	30
609	bluenile	bluenile	bluenil	bluenil	100
610	boathouse	hangar à bateaux	boathous	hangar à bateau	35
611	bobble	bobble	bobbl	bobbl	100
612	bode	présager	bode	présag	0
613	bodice	corsage	bodic	corsag	18
614	boggle	boggle	boggl	boggl	100
615	boldface	caractères gras	boldfac	caractères gr	20
616	bole	fût	bole	fût	0
617	bondage	esclavage	bondag	esclavag	29
618	bone	OS	bone	os	33
619	bonfire	feu	bonfir	feu	22
620	bonnie	Bonnie	bonni	bon	75
621	bookable	réservable	bookabl	réserv	0
622	bookcase	bibliothèque	bookcas	bibliothequ	22
623	bookie	bookmaker	booki	bookmak	67
624	bootlace	lacet	bootlac	lacet	50
625	booze	biberonner	booz	biberon	36
626	borate	borate	borat	borat	100
627	borderline	limite	borderlin	limit	29
628	bore	ennuyer	bore	ennui	22
629	borehole	forage	borehol	forag	33
630	borne	supporté	born	support	36
631	borrowable	empruntable	borrow	emprunt	15
632	bothersome	ennuyeux	bothersom	ennui	14
633	bottle	bouteille	bottl	bouteil	67
634	bounce	rebondir	bounc	rebond	55
635	bourgeoisie	bourgeoisie	bourgeoisi	bourgeois	95
636	boutique	boutique	boutiqu	boutiqu	100
637	bovine	bovine	bovin	bovin	100
638	bowie	bowie	bowi	bow	86
639	boxoffice	box-office	boxoffic	box-offic	94
640	brabble	brabble	brabbl	brabbl	100
641	brace	entretoise	brace	entretois	29
642	braille	braille	braill	braill	100
643	brainwave	cerveau	brainwav	cerveau	27
644	braise	braiser	brais	brais	100
645	brake	frein	brake	frein	40
646	bramble	roncier	brambl	ronci	18
647	brasserie	brasserie	brasseri	brasser	93
648	brassiere	soutien-gorge	brassier	soutien-gorg	40
649	brave	courageux	brave	courag	36
650	braze	braser	braze	bras	67
651	breadline	fil de fer	breadlin	fil de f	12
652	breakable	cassable	breakabl	cassabl	53
653	breakage	rupture	breakag	ruptur	15
654	breastbone	sternum	breastbon	sternum	38
655	breastplate	pectoral	breastplat	pectoral	33
656	breaststroke	brasse	breaststrok	brass	62
657	breathable	respirant	breathabl	respir	27
658	breathe	respirer	breath	respir	33
659	breathingspace	espace de respiration	breathingspac	espace de respir	34
660	breeze	brise	breez	bris	44
661	brewage	brassage	brewag	brassag	62
662	bribe	pot-de-vin	bribe	pot-de-vin	13
